gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400122,4/21/2025 19:30,New York,Knicks,1610612752,Detroit,Pistons,1610612765,94,100,1610612765,Playoffs,19812,30,East First Round,Game 2,2
42400151,4/20/2025 21:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,85,95,1610612744,Playoffs,18055,215,West First Round,Game 1,1
42400101,4/20/2025 19:00,Cleveland,Cavaliers,1610612739,Miami,Heat,1610612748,121,100,1610612739,Playoffs,19432,1000144,East First Round,Game 1,1
42400111,4/20/2025 15:30,Boston,Celtics,1610612738,Orlando,Magic,1610612753,103,86,1610612738,Playoffs,19156,17,East First Round,Game 1,1
42400141,4/20/2025 13:00,Oklahoma City,Thunder,1610612760,Memphis,Grizzlies,1610612763,131,80,1610612760,Playoffs,18203,1000052,West First Round,Game 1,1
42400161,4/19/2025 20:30,Los Angeles,Lakers,1610612747,Minnesota,Timberwolves,1610612750,95,117,1610612750,Playoffs,18997,1000069,West First Round,Game 1,1
42400121,4/19/2025 18:00,New York,Knicks,1610612752,Detroit,Pistons,1610612765,123,112,1610612752,Playoffs,19812,30,East First Round,Game 1,1
42400171,4/19/2025 15:30,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,112,110,1610612743,Playoffs,19973,1000046,West First Round,Game 1,1
42400131,4/19/2025 13:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,117,98,1610612754,Playoffs,17274,1000063,East First Round,Game 1,1
22401193,4/13/2025 15:30,Houston,Rockets,1610612745,Denver,Nuggets,1610612743,111,126,1610612743,Regular Season,18055,215,,,
22401194,4/13/2025 15:30,Memphis,Grizzlies,1610612763,Dallas,Mavericks,1610612742,132,97,1610612763,Regular Season,17794,242,,,
22401195,4/13/2025 15:30,Minnesota,Timberwolves,1610612750,Utah,Jazz,1610612762,116,105,1610612750,Regular Season,18978,61,,,
22401196,4/13/2025 15:30,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,100,115,1610612760,Regular Season,17761,160,,,
22401197,4/13/2025 15:30,San Antonio,Spurs,1610612759,Toronto,Raptors,1610612761,125,118,1610612759,Regular Season,18672,1000118,,,
22401198,4/13/2025 15:30,Golden State,Warriors,1610612744,Los Angeles,Clippers,1610612746,119,124,1610612746,Regular Season,18064,1000011,,,
22401199,4/13/2025 15:30,Portland,Trail Blazers,1610612757,Los Angeles,Lakers,1610612747,109,81,1610612757,Regular Season,19335,51,,,
22401200,4/13/2025 15:30,Sacramento,Kings,1610612758,Phoenix,Suns,1610612756,109,98,1610612758,Regular Season,17832,609,,,
22401186,4/13/2025 13:00,Atlanta,Hawks,1610612737,Orlando,Magic,1610612753,117,105,1610612737,Regular Season,17714,650,,,
22401187,4/13/2025 13:00,Boston,Celtics,1610612738,Charlotte,Hornets,1610612766,93,86,1610612738,Regular Season,19156,17,,,
22401188,4/13/2025 13:00,Brooklyn,Nets,1610612751,New York,Knicks,1610612752,105,113,1610612752,Regular Season,17926,461,,,
22401189,4/13/2025 13:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,118,126,1610612754,Regular Season,19432,1000144,,,
22401190,4/13/2025 13:00,Miami,Heat,1610612748,Washington,Wizards,1610612764,118,119,1610612764,Regular Season,19968,1000100,,,
22401191,4/13/2025 13:00,Philadelphia,76ers,1610612755,Chicago,Bulls,1610612741,102,122,1610612741,Regular Season,20059,419,,,
